experiment,shape,closed,method,parameterization,n_points,noise_sigma,trial,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
noise_robustness,s_curve,False,cubic_spline,chord,40,0.06,1,0.0002400222122576786,0.09878886376564644,0.18398659973695305,0.0018212025656387674,0.0008548000005248468
noise_robustness,s_curve,False,bspline_interp,chord,40,0.06,1,0.00023367429489056833,0.09934286683431393,0.1949657078748275,0.0018568709702029387,0.00031940000189933926
noise_robustness,s_curve,False,poly_ls,chord,40,0.06,1,0.0468631897240329,0.07848776450228875,0.12445599690183962,0.00017453012093346945,0.0002891999974963255
noise_robustness,s_curve,False,bspline_ls,chord,40,0.06,1,0.019695200781173393,0.0968012699432586,0.18573578256753254,0.0007963802401086803,0.0002463999990141019
noise_robustness,s_curve,False,cubic_spline,chord,40,0.0,2,1.528279601512292e-05,0.004454494309739187,0.011323588188922762,9.546441756531259e-05,0.0006604000009247102
noise_robustness,s_curve,False,bspline_interp,chord,40,0.0,2,1.5283052877832215e-05,0.0044545059717100485,0.011323588188928589,9.546129911122715e-05,0.00034469999809516594
noise_robustness,s_curve,False,poly_ls,chord,40,0.0,2,0.02462330534669483,0.04738362578749928,0.06730942704796689,0.00017019268261703364,0.00033089999851654284
noise_robustness,s_curve,False,bspline_ls,chord,40,0.0,2,0.016031121209168737,0.031019857675775635,0.055428527601359856,0.00011699260599258507,0.00016619999951217324
noise_robustness,s_curve,False,cubic_spline,chord,40,0.01,2,0.0001077769058900157,0.03453261257219135,0.1101803929219567,0.0006933510527652559,0.0009565000000293367
noise_robustness,s_curve,False,bspline_interp,chord,40,0.01,2,0.00010732107031347544,0.03485575792274677,0.11026046588720477,0.0006998296161244706,0.0003556000010576099
noise_robustness,s_curve,False,poly_ls,chord,40,0.01,2,0.02613034334910861,0.05226331124019187,0.07358834059008083,0.00017211067509930199,0.0003462000022409484
noise_robustness,s_curve,False,bspline_ls,chord,40,0.01,2,0.015037105585469885,0.025335305937061167,0.04573277611514691,0.0001335043022278379,0.00017209999714395963
noise_robustness,s_curve,False,cubic_spline,chord,40,0.02,2,0.00014987147725413607,0.04877408561108977,0.12890310002173658,0.000959449803455458,0.0007977999994182028
noise_robustness,s_curve,False,bspline_interp,chord,40,0.02,2,0.00014636341661813246,0.04978173180798572,0.12908625351321784,0.000980548313861209,0.0006288999975367915
noise_robustness,s_curve,False,poly_ls,chord,40,0.02,2,0.03081913230826675,0.059593608285062896,0.0851435256696203,0.00017321838497103066,0.0003811999995377846
noise_robustness,s_curve,False,bspline_ls,chord,40,0.02,2,0.01629397697716744,0.024877205488515852,0.04277861142105954,0.00012552385669321406,0.000207500001124572
noise_robustness,s_curve,False,cubic_spline,chord,40,0.04,2,0.000162601374647867,0.07470269750961238,0.16820766505303114,0.0014761860198754084,0.0011717999987013172
noise_robustness,s_curve,False,bspline_interp,chord,40,0.04,2,0.00016115133012042896,0.07812472994310322,0.1681676102131725,0.0015557316121741888,0.0009690999977465253
noise_robustness,s_curve,False,poly_ls,chord,40,0.04,2,0.04551320481097101,0.07416636478142957,0.10925969014775323,0.00016802955406697512,0.0008273999992525205
noise_robustness,s_curve,False,bspline_ls,chord,40,0.04,2,0.020649628147240213,0.05233424365311849,0.0982247053043513,0.00048243706181216265,0.0004493000014917925
noise_robustness,s_curve,False,cubic_spline,chord,40,0.06,2,0.00019747298980560255,0.09942782602371178,0.2098724200869426,0.0020015184242640188,0.0008200000011129305
noise_robustness,s_curve,False,bspline_interp,chord,40,0.06,2,0.0001945591194793496,0.1069506593537341,0.33234864566181815,0.002193577050826413,0.0015505000010307413
noise_robustness,s_curve,False,poly_ls,chord,40,0.06,2,0.061220236029810846,0.08658858331361566,0.12867798715326403,0.00015559927239505795,0.0003423000016482547
noise_robustness,s_curve,False,bspline_ls,chord,40,0.06,2,0.021949873790543615,0.07969607666186286,0.17560193778345154,0.0008482525665025841,0.00029379999978118576
noise_robustness,s_curve,False,cubic_spline,chord,40,0.0,3,1.3418880849533566e-05,0.004509618657444539,0.012658137858986769,9.6744573293231e-05,0.002339300001040101
