alpha,sample_index,t_sample,i_sample
0.3866666666666667,33,93.0,1.5850310218689742e-13
0.3866666666666667,34,94.0,0.01820588330807565
0.3866666666666667,35,95.0,1.2539878153247968e-16
0.3866666666666667,36,96.0,9.281744742546061e-27
0.3866666666666667,37,97.0,2.92714403166195e-32
0.3866666666666667,38,98.0,3.38121882026852e-33
0.3866666666666667,39,99.0,1.2324871621038962e-29
0.3866666666666667,40,100.0,1.223909869415403e-21
0.3866666666666667,41,101.0,2.8644801007420563e-09
0.3866666666666667,42,102.0,2.997521733184668e-05
0.3866666666666667,43,103.0,2.869445551688552e-05
0.3866666666666667,44,104.0,1.0887096054197229e-05
0.3866666666666667,45,105.0,0.0002263496397954162
0.3866666666666667,46,106.0,9.587410373322365e-10
0.3866666666666667,47,107.0,4.994560108947618e-13
0.3866666666666667,48,108.0,8.864347337013175e-12
0.3866666666666667,49,109.0,4.621014131588395e-06
0.3866666666666667,50,110.0,1.2003979262474408e-08
0.3866666666666667,51,111.0,2.368051230257908e-11
0.3866666666666667,52,112.0,1.5616786820889252e-09
0.3866666666666667,53,113.0,0.002555128926579385
0.3866666666666667,54,114.0,3.149392804350273e-14
0.3866666666666667,55,115.0,2.2093186083748203e-22
0.3866666666666667,56,116.0,6.190580712381661e-26
0.3866666666666667,57,117.0,5.961822886865857e-25
0.3866666666666667,58,118.0,1.7015978218229883e-19
0.3866666666666667,59,119.0,1.2437277477066404e-09
0.3866666666666667,60,120.0,0.0022844957863548173
0.4,1,61.0,1.099466309517199e-25
0.4,2,62.0,5.286934210124511e-20
0.4,3,63.0,6.462507189668439e-10
0.4,4,64.0,0.00156871641836141
0.4,5,65.0,8.816169350365486e-15
0.4,6,66.0,1.9888865844990925e-21
0.4,7,67.0,1.7060913924391193e-23
0.4,8,68.0,4.791728450591035e-21
0.4,9,69.0,3.802173636763606e-14
0.4,10,70.0,0.005960121972447576
0.4,11,71.0,3.1174898993984085e-16
0.4,12,72.0,2.056268432058181e-26
0.4,13,73.0,5.788189103938527e-32
0.4,14,74.0,5.9775093624140345e-33
0.4,15,75.0,1.9510467643464196e-29
0.4,16,76.0,1.7376115749669733e-21
0.4,17,77.0,3.65288542592003e-09
0.4,18,78.0,8.247433839774299e-06
0.4,19,79.0,1.2531347906848335e-05
0.4,20,80.0,5.647081992570895e-05
0.4,21,81.0,1.3640172278098157e-06
0.4,22,82.0,1.672501239704573e-05
0.4,23,83.0,3.0062540472704633e-06
0.4,24,84.0,3.9696607544288005e-05
0.4,25,85.0,1.1238896141069285e-07
0.4,26,86.0,2.1021843394146444e-08
0.4,27,87.0,0.0001198811875582893
0.4,28,88.0,3.7019243527375095e-11
0.4,29,89.0,1.8860088954191004e-16
0.4,30,90.0,3.495586098910292e-17
0.4,31,91.0,2.0307814756646101e-13
0.4,32,92.0,3.188799427282872e-05
0.4,33,93.0,1.2570646255544624e-12
0.4,34,94.0,4.9647784846415626e-20
0.4,35,95.0,7.642553976941457e-23
0.4,36,96.0,3.946909604219658e-21
0.4,37,97.0,5.898737459284384e-15
0.4,38,98.0,0.00021892249997072989
0.4,39,99.0,9.292744865031699e-15
0.4,40,100.0,3.66857520640199e-24
0.4,41,101.0,6.025835938093838e-29
0.4,42,102.0,3.5414899365031906e-29
0.4,43,103.0,6.418185147902491e-25
0.4,44,104.0,3.097520202987692e-16
0.4,45,105.0,0.0031427767877038734
0.4,46,106.0,1.8489089739683816e-16
0.4,47,107.0,4.412547268630145e-27
0.4,48,108.0,4.559459151885287e-33
0.4,49,109.0,1.7531754297024212e-34
0.4,50,110.0,2.160695062387905e-31
0.4,51,111.0,7.367155700544557e-24
0.4,52,112.0,6.010652986549319e-12
0.4,53,113.0,0.0003472569110343364
0.4,54,114.0,3.5445630442093416e-16
0.4,55,115.0,1.613188701713437e-23
0.4,56,116.0,2.855818233811936e-26
0.4,57,117.0,1.6927580536378346e-24
0.4,58,118.0,2.8979672794822324e-18
0.4,59,119.0,1.238627683510334e-07
0.4,60,120.0,5.461767359381608e-09
0.4133333333333334,1,61.0,1.1917502689685783e-17
0.4133333333333334,2,62.0,2.181747892377767e-28
0.4133333333333334,3,63.0,1.73583004253423e-34
0.4133333333333334,4,64.0,5.158317153235295e-36
0.4133333333333334,5,65.0,4.931195122016266e-33
0.4133333333333334,6,66.0,1.308877627739084e-25
0.4133333333333334,7,67.0,8.342626249289786e-14
0.4133333333333334,8,68.0,0.0011840200543076
0.4133333333333334,9,69.0,2.5296122665550764e-18
0.4133333333333334,10,70.0,2.6145241010759973e-28
0.4133333333333334,11,71.0,1.1459159149444925e-33
0.4133333333333334,12,72.0,1.831048620802871e-34
0.4133333333333334,13,73.0,9.190256267664595e-31
0.4133333333333334,14,74.0,1.2509528353029025e-22
0.4133333333333334,15,75.0,3.9951782623731735e-10
0.4133333333333334,16,76.0,0.006651762778822185
0.4133333333333334,17,77.0,1.1619602067897878e-13
0.4133333333333334,18,78.0,2.78858271889604e-20
0.4133333333333334,19,79.0,2.542476279384698e-22
0.4133333333333334,20,80.0,7.583193613879874e-20
0.4133333333333334,21,81.0,6.384491388401068e-13
0.4133333333333334,22,82.0,0.02053978395214289
0.4133333333333334,23,83.0,5.140511089697408e-17
0.4133333333333334,24,84.0,2.4689720421456586e-27
0.4133333333333334,25,85.0,5.08356177791189e-33
0.4133333333333334,26,86.0,3.85710060536678e-34
0.4133333333333334,27,87.0,9.290147625776743e-31
0.4133333333333334,28,88.0,6.131879069164685e-23
0.4133333333333334,29,89.0,9.594167435317878e-11
0.4133333333333334,30,90.0,0.0013727610122101417
0.4133333333333334,31,91.0,9.528538434808365e-15
0.4133333333333334,32,92.0,2.6639009477084007e-21
0.4133333333333334,33,93.0,2.8232580070206815e-23
0.4133333333333334,34,94.0,9.767374203437373e-21
0.4133333333333334,35,95.0,9.5185315850021e-14
0.4133333333333334,36,96.0,0.012976030071974138
0.4133333333333334,37,97.0,1.1157129829439422e-16
0.4133333333333334,38,98.0,4.6029627315466175e-27
0.4133333333333334,39,99.0,8.158323990325508e-33
0.4133333333333334,40,100.0,5.339844155419708e-34
0.4133333333333334,41,101.0,1.1118217799885913e-30
0.4133333333333334,42,102.0,6.356945392081487e-23
0.4133333333333334,43,103.0,8.633550505579283e-11
0.4133333333333334,44,104.0,0.0011893048782678718
0.4133333333333334,45,105.0,9.01679107127472e-15
0.4133333333333334,46,106.0,2.7822290261254336e-21
0.4133333333333334,47,107.0,3.2498752668949306e-23
0.4133333333333334,48,108.0,1.2374740261889444e-20
0.4133333333333334,49,109.0,1.3254996303648477e-13
