t,beta_t,i_t,alpha,R0,beta0
45.14520547945205,923.4350391655346,0.0002821733712548657,0.3,15.0,780.2142857142857
45.14794520547945,920.2270741726215,0.00031810566899229673,0.3,15.0,780.2142857142857
45.15068493150685,916.977620368765,0.00035824067896089024,0.3,15.0,780.2142857142857
45.153424657534245,913.6876406372666,0.0004030053085047838,0.3,15.0,780.2142857142857
45.156164383561645,910.3581098701026,0.00045285829755955327,0.3,15.0,780.2142857142857
45.15890410958904,906.9900146791186,0.0005082903591131666,0.3,15.0,780.2142857142857
45.16164383561644,903.5843531035871,0.0005698237686268707,0.3,15.0,780.2142857142857
45.16438356164384,900.1421343145437,0.0006380112736358284,0.3,15.0,780.2142857142857
45.16712328767123,896.6643783157166,0.0007134341794620061,0.3,15.0,780.2142857142857
45.16986301369863,893.1521156412414,0.0007966994526093779,0.3,15.0,780.2142857142857
45.17260273972603,889.6063870503609,0.0008884356710764257,0.3,15.0,780.2142857142857
45.175342465753424,886.0282432189913,0.0009892876419142164,0.3,15.0,780.2142857142857
45.178082191780824,882.4187444283491,0.001099909502596856,0.3,15.0,780.2142857142857
45.18082191780822,878.7789602508369,0.0012209561262463997,0.3,15.0,780.2142857142857
45.18356164383562,875.1099692330596,0.001353072663874998,0.3,15.0,780.2142857142857
45.18630136986302,871.4128585762389,0.0014968820821895147,0.3,15.0,780.2142857142857
45.18904109589041,867.6887238140653,0.001652970595988524,0.3,15.0,780.2142857142857
45.19178082191781,863.9386684880175,0.0018218709524244199,0.3,15.0,780.2142857142857
45.1945205479452,860.1638038204458,0.0020040436027966364,0.3,15.0,780.2142857142857
45.1972602739726,856.3652483851951,0.002199855897724713,0.3,15.0,780.2142857142857
45.2,852.5441277762325,0.002409559563900486,0.3,15.0,780.2142857142857
45.202739726027396,848.7015742740738,0.002633266863938612,0.3,15.0,780.2142857142857
45.205479452054796,844.8387265102255,0.0028709260014888175,0.3,15.0,780.2142857142857
45.20821917808219,840.9567291298595,0.003122296505460377,0.3,15.0,780.2142857142857
45.21095890410959,837.0567324525801,0.003386925500481096,0.3,15.0,780.2142857142857
45.21369863013699,833.1398921315719,0.00366412593277831,0.3,15.0,780.2142857142857
45.21643835616438,829.2073688111668,0.003952957955981158,0.3,15.0,780.2142857142857
45.21917808219178,825.2603277828699,0.004252214771931134,0.3,15.0,780.2142857142857
45.22191780821918,821.2999386401349,0.004560414248860198,0.3,15.0,780.2142857142857
45.224657534246575,817.3273749317501,0.004875797585697618,0.3,15.0,780.2142857142857
45.227397260273975,813.3438138140508,0.005196336142684462,0.3,15.0,780.2142857142857
45.23013698630137,809.3504357021951,0.005519747307049139,0.3,15.0,780.2142857142857
